comp,y
Mg4Be4Nb4Sb4O24,-1.689
Mg4Be4Nb2Sb6O24,-1.815
Mg4Be4Ta2Nb6O24,-4.355
Mg4Be4Ta4Nb4O24,-4.494
Mg4Be4Ta6Nb2O24,-4.806
Mg4Be4Nb6V2O24,-3.911
Mg4Be4Nb4V4O24,-3.533
Mg4Be4Nb2V6O24,-3.237
Sr4Be4Nb6P2O24,-4.112
Sr4Be4Nb4P4O24,-5.275
Sr4Be4Nb2P6O24,-4.576
Sr4Be4Nb6Sb2O24,-3.921
Sr4Be4Nb4Sb4O24,-1.812
Sr4Be4Nb2Sb6O24,-1.684
Sr4Be4Ta2Nb6O24,-4.208
Sr4Be4Ta4Nb4O24,-4.372
Sr4Be4Ta6Nb2O24,-4.868
Sr4Be4Nb6V2O24,-3.894
Sr4Be4Nb4V4O24,-3.46
Sr4Be4Nb2V6O24,-3.156
Ba4Be4Nb8O24,-4.211
Ba4Be4P8O24,-3.798
Ba4Be4Nb6P2O24,-3.949
Ba4Be4Nb4P4O24,-3.992
Ba4Be4Nb2P6O24,-3.208
Ba4Be4Sb8O24,-1.98
Ba4Be4Nb6Sb2O24,-3.843
Ba4Be4Nb4Sb4O24,-1.855
Ba4Be4Nb2Sb6O24,-1.724
Ba4Be4Ta8O24,-4.847
Ba4Be4Ta2Nb6O24,-4.332
Ba4Be4Ta4Nb4O24,-4.597
Ba4Be4Ta6Nb2O24,-4.742
Ba4Be4V8O24,-3.646
Ba4Be4Nb6V2O24,-3.838
Ba4Be4Nb4V4O24,-3.634
Ba4Be4Nb2V6O24,-3.475
Ba2Be6Nb8O24,-3.889
Ba2Be6P8O24,-3.325
Ba2Be6Nb6P2O24,-4.396
Ba2Be6Nb4P4O24,-4.949
Ba2Be6Nb2P6O24,-3.082
Ba2Be6Sb8O24,-1.835
Ba2Be6Nb6Sb2O24,-4.121
Ba2Be6Nb4Sb4O24,-1.69
Ba2Be6Nb2Sb6O24,-1.911
Ba2Be6Ta8O24,-4.873
Ba2Be6Ta2Nb6O24,-4.053
Ba2Be6Ta4Nb4O24,-4.251
Ba2Be6Ta6Nb2O24,-4.522
Ba2Be6V8O24,-2.914
Ba2Be6Nb6V2O24,-3.779
Ba2Be6Nb4V4O24,-3.298
Ba2Be6Nb2V6O24,-3.88
Ca8P8O24,-4.031
